id_stacji;stacja;data_pomiaru;godzina_pomiaru;temperatura;predkosc_wiatru;kierunek_wiatru;wilgotnosc_wzgledna;suma_opadu;cisnienie;
12295;Bia³ystok;2023-04-02;12;4;4;340;81.8;3.7;1013.9;
12600;Bielsko Bia³a;2023-04-02;12;2.7;3;300;95.1;3.7;1016.1;
12235;Chojnice;2023-04-02;12;6.1;8;30;50.7;0;1020.4;
12550;Czêstochowa;2023-04-02;12;3;4;310;93.1;12.2;1016;
12160;Elbl¹g;2023-04-02;12;4.4;8;10;65.8;0.6;1019.5;
12155;Gdañsk;2023-04-02;12;4.2;11;20;62.9;1.5;1021.1;
12300;Gorzów;2023-04-02;12;6.4;4;30;58.9;2.7;1021.6;
12135;Hel;2023-04-02;12;5.4;9;20;56.9;0.7;1022.1;
12500;Jelenia Góra;2023-04-02;12;2.2;3;340;87.8;2.8;1020.2;
12435;Kalisz;2023-04-02;12;3.4;8;350;89.2;2.2;1017.7;
12650;Kasprowy Wierch;2023-04-02;12;-3.7;4;30;96.3;0.9;None;
12560;Katowice;2023-04-02;12;3.3;3;310;91.8;3.1;1015.7;
12185;Kêtrzyn;2023-04-02;12;4.7;5;30;66.8;0.2;1017.4;
12570;Kielce;2023-04-02;12;5.1;4;330;89.9;1.8;1013.7;
12520;K³odzko;2023-04-02;12;2.2;4;10;84.0;2.9;1018.7;
12345;Ko³o;2023-04-02;12;1;4;360;97.1;4.4;1017.8;
12100;Ko³obrzeg;2023-04-02;12;4.8;13;40;68.8;0;1024.5;
12105;Koszalin;2023-04-02;12;5.6;7;20;53.7;0;1023.5;
12488;Kozienice;2023-04-02;12;4.8;5;340;83.7;2.5;1013.9;
12566;Kraków;2023-04-02;12;4.7;4;290;86.1;0.6;1014.8;
12670;Krosno;2023-04-02;12;8.4;3;360;72.5;0.1;1011.1;
12415;Legnica;2023-04-02;12;4.1;4;350;75.0;8.5;1019.7;
12690;Lesko;2023-04-02;12;9.6;3;340;60.5;5.5;1010.3;
12418;Leszno;2023-04-02;12;5.2;6;360;72.0;1.2;1019.5;
12125;Lêbork;2023-04-02;12;5.6;7;30;53.7;0.1;1022.8;
12495;Lublin;2023-04-02;12;4.6;5;360;88.0;8.3;1012.9;
12120;£eba;2023-04-02;12;4.7;8;40;56.7;0.1;1023.8;
12465;£ódŸ;2023-04-02;12;3.2;4;350;86.6;3.7;1016.2;
12280;Miko³ajki;2023-04-02;12;3.8;7;360;76.1;3;1017.1;
12270;M³awa;2023-04-02;12;2.9;6;20;89.1;10.4;1016.8;
12660;Nowy S¹cz;2023-04-02;12;7.2;3;310;90.7;1.6;1012.3;
12272;Olsztyn;2023-04-02;12;4.2;5;10;73.9;11.4;1017.7;
12530;Opole;2023-04-02;12;4;4;330;78.9;7.2;1017.2;
12285;Ostro³êka;2023-04-02;12;3.7;4;10;80.6;3.9;1015.7;
12230;Pi³a;2023-04-02;12;7.2;5;30;50.6;0.1;1020.3;
12001;Platforma;2023-04-02;12;3.1;15;30;55.9;0;1024.1;
12360;P³ock;2023-04-02;12;2.6;5;10;93.1;2.2;1016.7;
12330;Poznañ;2023-04-02;12;5.6;7;10;63.6;1.2;1019.7;
12695;Przemyœl;2023-04-02;12;8.5;2;99;72.0;4.3;1011.2;
12540;Racibórz;2023-04-02;12;4.2;6;330;84.9;4.3;1016.4;
12210;Resko;2023-04-02;12;5.8;8;10;57.9;0;1023.2;
12580;Rzeszów;2023-04-02;12;8.3;4;350;73.6;0.4;1011.8;
12585;Sandomierz;2023-04-02;12;6.5;4;350;78.7;1;1012.6;
12385;Siedlce;2023-04-02;12;3.9;5;360;86.7;1;1013.9;
12310;S³ubice;2023-04-02;12;6.2;6;360;67.6;7.1;1021.8;
12469;Sulejów;2023-04-02;12;3.3;5;330;91.8;1.4;1015.3;
12195;Suwa³ki;2023-04-02;12;3.8;6;20;76.6;3.7;1016.1;
12205;Szczecin;2023-04-02;12;6.7;7;20;53.5;0.1;1023.3;
12215;Szczecinek;2023-04-02;12;7.3;6;20;44.2;0;1021.2;
12510;Œnie¿ka;2023-04-02;12;-6.4;15;340;96.2;1.4;None;
12200;Œwinoujœcie;2023-04-02;12;4.9;12;40;73.0;0.1;1025.3;
12575;Tarnów;2023-04-02;12;7.2;2;350;87.6;1.4;1012.7;
12399;Terespol;2023-04-02;12;4.9;4;340;86.8;0.8;1012.3;
12250;Toruñ;2023-04-02;12;4.3;5;340;80.1;1.5;1018.4;
12115;Ustka;2023-04-02;12;4.3;14;40;71.8;0.1;1024;
12375;Warszawa;2023-04-02;12;4;4;360;86.7;0.6;1015;
12455;Wieluñ;2023-04-02;12;3.7;4;320;81.8;4.1;1016.7;
12497;W³odawa;2023-04-02;12;5;6;350;86.8;1.5;1011.9;
12424;Wroc³aw;2023-04-02;12;4.6;4;360;74.5;11.6;1018.8;
12625;Zakopane;2023-04-02;12;1.5;1;310;89.7;0.2;None;
12595;Zamoœæ;2023-04-02;12;4.9;6;330;93.8;0.6;1012;
12400;Zielona Góra;2023-04-02;12;4.1;4;350;73.9;10.9;1020.6;
